customer_id,signup_date,gender,age,tenure_months,contract_type,payment_method,monthly_charges,total_charges,support_tickets,churned
C1311,2025-06-11,Male,35.0,69,Month-to-month,Bank transfer,61.23,4224.87,3,No
C1312,2024-08-05,Female,71.0,22,Month-to-month,Credit card,50.2,1104.4,1,No
C1313,2024-04-08,Female,24.0,24,Month-to-month,Mailed check,63.35,1520.4,1,No
C1314,2024-01-30,Female,40.0,44,Month-to-month,Electronic check,35.5,1562.0,1,Yes
C1315,2025-04-06,Male,73.0,29,One year,Credit card,72.97,2116.13,0,No
C1316,2024-10-15,Female,57.0,52,Month-to-month,Mailed check,131.01,6812.52,0,No
C1317,2025-05-09,FEMALE,68.0,15,One year,Mailed check,98.63,1479.45,2,No
C1318,2025-02-04,Female,26.0,12,Month-to-month,Mailed check,42.27,507.24,1,Yes
C1319,2024-01-26,Female,23.0,4,Month-to-month,Credit card,48.17,192.68,3,Yes
C1320,2024-12-18,Female,48.0,34,Two year,Credit card,59.88,2035.92,4,Yes
C1321,2024-12-05,Female,50.0,16,Month-to-month,Credit card,95.11,1521.76,1,No
C1322,2024-03-28,Female,68.0,22,Two year,Credit card,49.46,1088.12,2,No
C1323,2024-09-09,Male,31.0,65,Two year,Credit card,52.74,3428.1,1,No
C1324,2024-08-17,Female,53.0,58,One year,Mailed check,92.12,5342.96,2,No
C1325,2025-01-06,Female,,60,Month-to-month,Bank transfer,91.62,5497.2,2,No
C1326,2025-02-03,FEMALE,46.0,43,One year,Electronic check,60.65,2607.95,2,No
C1327,2025-06-15,Male,53.0,8,One year,Mailed check,42.06,336.48,3,No
C1328,2024-02-05,Male,76.0,54,One year,Mailed check,31.26,1688.04,0,No
C1329,2025-03-09,Female,76.0,43,Month-to-month,Mailed check,52.53,2258.79,0,No
C1330,2024-05-18,Female,76.0,65,Two year,Credit card,20.0,1300.0,4,No
C1331,2024-05-06,Male,63.0,35,Two year,Mailed check,88.75,3106.25,2,No
C1332,2024-07-28,Female,55.0,13,Month-to-month,Electronic check,54.25,705.25,2,Yes
C1333,2024-11-28,Male,24.0,43,Month-to-month,Bank transfer,82.03,3527.29,0,No
C1334,2024-01-12,FEMALE,39.0,33,Month-to-month,Electronic check,116.71,3851.43,0,No
C1335,2024-12-03,Male,41.0,47,Two year,Credit card,99.32,4668.04,0,No
C1336,2025-05-06,Male,66.0,27,Two year,Electronic check,41.22,1112.94,0,Yes
C1337,2024-01-07,Female,53.0,22,Two year,Electronic check,91.73,2018.06,3,No
C1338,2025-06-08,Male,32.0,9,One year,Credit card,98.95,890.55,0,No
C1339,2024-03-20,Male,74.0,69,One year,Mailed check,51.34,3542.46,2,No
C1340,2025-05-14,Male,22.0,54,One year,Credit card,46.17,2493.18,2,No
C1341,2024-08-03,Male,40.0,34,One year,Credit card,67.26,2286.84,2,No
C1342,2024-08-05,Male,54.0,17,Two year,Bank transfer,29.96,509.32,1,No
C1343,2024-04-16,Male,29.0,45,One year,Mailed check,106.77,4804.65,1,No
C1344,2024-12-01,Female,25.0,30,Month-to-month,Bank transfer,20.0,600.0,1,Yes
C1345,2024-05-22,Male,35.0,46,Month-to-month,Credit card,42.33,1947.18,1,No
C1346,2024-04-28,Female,32.0,7,Month-to-month,Electronic check,63.26,442.82,3,Yes
C1347,2025-02-09, male,33.0,14,One year,Electronic check,64.32,900.48,4,No
C1348,2025-03-12,Female,37.0,53,One year,Bank transfer,74.15,3929.95,3,No
C1349,2025-07-30,Male,27.0,5,Month-to-month,Bank transfer,76.79,383.95,2,Yes
C1350,2024-11-22,FEMALE,48.0,49,Two year,Mailed check,64.66,3168.34,1,No
C1351,2024-10-01,Male,39.0,30,One year,Mailed check,98.42,2952.6,1,No
C1352,2025-02-23,Male,44.0,1,Month-to-month,Electronic check,20.0,20.0,4,Yes
C1353,2025-01-22,Female,33.0,55,Month-to-month,Mailed check,70.0,3850.0,1,Yes
C1354,2025-07-04,Female,62.0,50,Month-to-month,Credit card,52.14,2607.0,0,No
C1355,2025-04-01,Male,49.0,58,Month-to-month,Credit card,73.31,4251.98,3,No
C1356,2025-06-18,Male,52.0,64,Month-to-month,Electronic check,75.52,4833.28,4,Yes
C1357,2025-02-07,Female,73.0,52,Month-to-month,Bank transfer,47.2,2454.4,4,No
C1358,2025-07-10,Female,,60,Two year,Credit card,53.98,3238.8,1,No
C1359,2025-01-29,Male,77.0,9,Month-to-month,Credit card,89.81,808.29,2,No
C1360,2024-11-22,Male,21.0,66,Two year,Bank transfer,78.73, ,1,No
C1361,2024-01-01,Male,27.0,65,One year,Bank transfer,52.99,3444.35,0,No
C1362,2024-06-20,Male,68.0,50,Two year,Electronic check,121.0,6050.0,0,No
C1363,2025-06-05,Female,53.0,57,Month-to-month,Credit card,127.73,7280.61,1,No
C1364,2025-02-02,Female,79.0,53,Month-to-month,Credit card,33.44,1772.32,1,No
C1365,2024-04-06,Male,59.0,63,One year,Bank transfer,77.54,4885.02,2,No
C1366,2024-01-30,Female,69.0,64,Month-to-month,Mailed check,132.72,8494.08,2,No
C1367,2024-04-18,Female,27.0,38,Month-to-month,Bank transfer,89.6,3404.8,4,Yes
C1368,2024-04-27,Female,22.0,58,One year,Bank transfer,75.53,4380.74,2,No
C1369,2024-11-01,Male,50.0,66,One year,Credit card,64.8,4276.8,3,No
C1370,2024-06-08, male,51.0,22,Month-to-month,Mailed check,56.47,1242.34,0,No
C1371,2024-12-18,Male,30.0,4,Month-to-month,Bank transfer,64.69,258.76,3,Yes
C1372,2025-03-15,Female,72.0,13,Two year,Mailed check,56.23,730.99,2,Yes
C1373,2025-03-29,Male,40.0,3,Month-to-month,Mailed check,88.62,265.86,1,No
C1374,2025-04-11,Male,44.0,31,One year,Credit card,60.05,1861.55,1,Yes
C1375,2024-06-24,Female,38.0,2,Month-to-month,Credit card,58.97,117.94,2,No
C1376,2025-07-14,Female,49.0,19,Two year,Credit card,39.95,759.05,3,No
C1377,2025-07-21,FEMALE,68.0,18,Month-to-month,Mailed check,68.76,1237.68,0,No
C1378,2024-02-17,Female,46.0,51,Month-to-month,Bank transfer,47.65,2430.15,3,No
C1379,2025-01-11,Male,32.0,18,Month-to-month,Bank transfer,65.48,1178.64,4,No
C1380,2024-09-07,Female,59.0,68,One year,Credit card,96.05,6531.4,3,Yes
C1381,2025-05-21,Female,51.0,14,Two year,Credit card,79.15,1108.1,1,Yes
C1382,2025-02-09,Male,29.0,69,Month-to-month,Credit card,82.62,5700.78,1,No
C1383,2024-10-13,Female,54.0,41,Month-to-month,Mailed check,78.9,3234.9,0,No
C1384,2024-07-31,FEMALE,32.0,18,One year,Electronic check,71.48,1286.64,1,No
C1385,2024-02-12,Male,38.0,3,One year,Bank transfer,66.82,200.46,1,No
C1386,2024-07-30,Male,26.0,22,Month-to-month,Electronic check,62.3,1370.6,1,Yes
C1387,2024-01-08,Male,75.0,42,One year,Bank transfer,88.98,3737.16,2,No
C1388,2025-07-30,Male,62.0,8,Month-to-month,Credit card,42.89,343.12,2,No
C1389,2025-01-19,Male,38.0,12,Two year,Bank transfer,103.52,1242.24,4,Yes
C1390,2024-11-21,Male,54.0,9,Month-to-month,Mailed check,70.85,637.65,0,No
C1391,2024-09-12,Female,,49,One year,Mailed check,51.28,2512.72,2,No
C1392,2025-01-23,Female,76.0,7,One year,Mailed check,57.77,404.39,0,No
C1393,2024-09-21,Female,60.0,2,One year,Credit card,53.08,106.16,1,No
C1394,2025-06-30,Male,20.0,33,Month-to-month,Mailed check,74.01,2442.33,2,No
C1395,2024-07-14,Male,48.0,23,One year,Credit card,52.05,1197.15,0,No
C1396,2024-09-22,FEMALE,42.0,41,One year,Credit card,98.55,4040.55,1,No
C1397,2024-04-16,Male,62.0,67,Month-to-month,Bank transfer,50.46,3380.82,2,No
C1398,2025-03-03, male,78.0,61,Month-to-month,Bank transfer,20.0,1220.0,2,No
C1399,2024-10-11,Male,27.0,39,Two year,Credit card,51.73,2017.47,3,No
C1400,2024-06-16,Female,27.0,46,One year,Electronic check,20.0,920.0,1,No
C1401,2024-06-01,Female,27.0,58,Month-to-month,Mailed check,69.0,4002.0,1,No
C1402,2025-05-26,Male,76.0,32,One year,Mailed check,96.48,3087.36,2,No
C1403,2025-06-19,Male,63.0,47,Month-to-month,Bank transfer,86.19,4050.93,1,Yes
C1404,2024-05-03,Male,47.0,16,Month-to-month,Bank transfer,36.56,584.96,1,No
C1405,2024-04-17,Male,42.0,44,Two year,Electronic check,50.94,2241.36,1,No
C1406,2024-12-14,Male,54.0,17,Month-to-month,Bank transfer,114.47,1945.99,1,No
C1407,2025-08-03,Male,71.0,14,Month-to-month,Mailed check,77.96,1091.44,3,Yes
C1408,2024-12-23,Male,21.0,55,Month-to-month,Bank transfer,70.1,3855.5,1,No
C1409,2025-05-31,Female,32.0,41,Month-to-month,Bank transfer,96.4,3952.4,1,No
C1410,2025-04-04,Male,58.0,27,Month-to-month,Electronic check,131.32,3545.64,0,Yes
C1411,2024-08-18,Male,32.0,3,Month-to-month,Bank transfer,102.41,307.23,3,Yes
C1412,2024-06-19,Female,78.0,17,Month-to-month,Mailed check,73.49,1249.33,2,Yes
C1413,2025-04-08,Female,71.0,57,Month-to-month,Electronic check,78.87,4495.59,5,No
C1414,2024-12-09,Male,68.0,34,Month-to-month,Credit card,85.43,2904.62,1,Yes
C1415,2024-12-14,FEMALE,40.0,69,Month-to-month,Electronic check,54.68,3772.92,1,No
C1416,2024-01-29,Male,22.0,64,One year,Bank transfer,43.53,2785.92,0,No
C1417,2024-10-06, male,24.0,61,Two year,Bank transfer,71.31,4349.91,2,No
C1418,2025-04-09,Male,52.0,2,Month-to-month,Credit card,46.32,92.64,5,Yes
C1419,2025-05-02,Male,,4,One year,Credit card,68.46,273.84,1,No
C1420,2024-11-20,Male,,42,Month-to-month,Electronic check,72.4,3040.8,1,Yes
C1421,2025-05-13, male,65.0,25,Month-to-month,Bank transfer,128.53,3213.25,1,No
C1422,2025-04-27,Male,32.0,60,Month-to-month,Electronic check,48.72, ,1,Yes
C1423,2024-04-30,Female,34.0,23,Two year,Electronic check,66.96,1540.08,0,No
C1424,2025-03-06,Female,75.0,11,Month-to-month,Bank transfer,65.89,724.79,1,Yes
C1425,2025-06-27,Male,52.0,9,Two year,Credit card,80.93,728.37,2,No
C1426,2024-10-13,Male,,22,Month-to-month,Electronic check,96.17,2115.74,1,Yes
C1427,2024-01-20,Male,69.0,45,One year,Mailed check,57.74,2598.3,2,No
C1428,2025-08-11,Female,68.0,9,Two year,Mailed check,49.47,445.23,0,No
C1429,2024-01-04,Female,,57,Two year,Credit card,28.98,1651.86,2,No
C1430,2024-02-22,Male,31.0,22,Month-to-month,Mailed check,46.84,1030.48,1,No
C1431,2024-10-17, male,64.0,23,Month-to-month,Bank transfer,83.41,1918.43,0,No
C1432,2024-07-16,Female,,48,Month-to-month,Credit card,71.14,3414.72,3,Yes
C1433,2024-06-29,Male,78.0,62,One year,Credit card,44.61, ,1,Yes
C1434,2025-07-15,Female,71.0,31,Month-to-month,Mailed check,60.68,1881.08,3,No
C1435,2024-09-10,Male,36.0,57,Month-to-month,Bank transfer,70.79,4035.03,3,No
C1436,2024-02-16,Female,73.0,22,Two year,Mailed check,82.59,1816.98,2,No
C1437,2024-10-14,Male,72.0,10,Month-to-month,Bank transfer,55.17,551.7,1,No
C1438,2024-06-10,Female,33.0,59,Month-to-month,Credit card,63.74,3760.66,0,No
C1439,2024-10-07,Male,52.0,55,Two year,Electronic check,24.54,1349.7,3,No
C1440,2025-05-16,Male,62.0,54,Month-to-month,Electronic check,41.22,2225.88,1,No
C1441,2025-06-28,Female,,63,Month-to-month,Mailed check,110.44,6957.72,2,No
C1442,2025-03-03,Female,70.0,36,Month-to-month,Mailed check,20.0,720.0,4,No
C1443,2025-07-04,Male,26.0,15,Month-to-month,Credit card,61.55,923.25,2,Yes
C1444,2024-05-13,Female,62.0,42,Month-to-month,Credit card,75.48,3170.16,2,No
C1445,2024-07-26, male,38.0,41,One year,Mailed check,60.64,2486.24,1,No
C1446,2025-04-19,Male,77.0,28,Two year,Bank transfer,49.8,1394.4,3,No
C1447,2024-06-21,FEMALE,26.0,46,One year,Bank transfer,68.47,3149.62,2,No
C1448,2024-12-11,Male,39.0,19,One year,Credit card,69.88,1327.72,1,No
C1449,2025-01-27,Female,65.0,44,Month-to-month,Bank transfer,67.95,2989.8,1,No
C1450,2024-07-05,Male,,57,One year,Bank transfer,23.06,1314.42,0,No
C1451,2024-04-29,Male,52.0,7,One year,Credit card,66.31,464.17,1,No
C1452,2024-01-01,Female,35.0,33,One year,Credit card,48.62,1604.46,2,No
C1453,2024-08-28,Female,20.0,47,Two year,Mailed check,56.31,2646.57,2,No
C1454,2024-09-03,Male,19.0,4,One year,Credit card,75.67,302.68,2,No
C1455,2025-03-06,Female,72.0,45,Month-to-month,Bank transfer,86.02,3870.9,3,No
C1456,2025-03-13,FEMALE,67.0,65,One year,Bank transfer,92.42,6007.3,3,No
C1457,2024-01-04,Male,54.0,59,Month-to-month,Electronic check,57.59,3397.81,0,No
C1458,2024-10-15,Male,60.0,49,Month-to-month,Bank transfer,93.1,4561.9,4,Yes
C1459,2025-04-08,Female,45.0,58,One year,Credit card,99.34,5761.72,4,No
C1460,2025-08-03,Male,50.0,26,Two year,Electronic check,98.42,2558.92,0,No
C1461,2025-03-16,Male,26.0,24,Month-to-month,Electronic check,104.74,2513.76,2,Yes
C1462,2024-06-23,Female,23.0,6,Month-to-month,Electronic check,66.36,398.16,2,No
C1463,2024-08-20,Female,47.0,52,One year,Credit card,65.65,3413.8,2,No
C1464,2024-08-10, male,79.0,23,Month-to-month,Mailed check,90.63,2084.49,0,No
C1465,2024-05-28, male,74.0,62,Month-to-month,Bank transfer,35.84,2222.08,2,No
C1466,2024-01-04,Female,51.0,34,Month-to-month,Electronic check,75.24,2558.16,0,No
C1467,2024-11-20,Male,54.0,64,Month-to-month,Electronic check,56.74,3631.36,2,No
C1468,2024-06-11,Female,69.0,10,One year,Credit card,60.78,607.8,2,No
C1469,2024-06-26,Female,46.0,12,One year,Credit card,26.46,317.52,0,No
C1470,2024-08-08,Male,41.0,25,Month-to-month,Credit card,47.74,1193.5,5,Yes
C1471,2025-05-07,FEMALE,55.0,2,Two year,Electronic check,69.49,138.98,1,Yes
C1472,2025-03-11,Male,49.0,35,Two year,Bank transfer,92.21,3227.35,1,No
C1473,2024-12-20,Female,52.0,47,Month-to-month,Mailed check,94.75,4453.25,1,Yes
C1474,2025-03-14,Female,20.0,47,Month-to-month,Mailed check,67.99,3195.53,0,No
C1475,2024-07-03, male,56.0,16,Month-to-month,Credit card,65.27,1044.32,1,No
C1476,2024-08-17,Female,42.0,12,Two year,Electronic check,49.23,590.76,3,No
C1477,2025-04-29,FEMALE,30.0,41,Two year,Bank transfer,80.06,3282.46,1,No
C1478,2025-01-09,Male,,45,Month-to-month,Credit card,63.81,2871.45,3,No
C1479,2024-12-30,Male,27.0,68,Month-to-month,Credit card,85.15,5790.2,0,No
C1480,2024-05-01,Male,29.0,64,Month-to-month,Mailed check,113.79,7282.56,5,Yes
C1481,2024-03-20,Female,18.0,27,Month-to-month,Credit card,69.19,1868.13,1,No
C1482,2024-05-14,Male,63.0,12,Two year,Bank transfer,32.57,390.84,1,No
C1483,2024-09-05,Male,69.0,18,Month-to-month,Bank transfer,48.48, ,1,Yes
C1484,2024-06-09,Male,42.0,63,Month-to-month,Mailed check,33.55,2113.65,4,No
C1485,2024-10-20,Female,18.0,33,Month-to-month,Bank transfer,40.07,1322.31,1,No
C1486,2024-06-10,Male,46.0,71,Month-to-month,Electronic check,102.63,7286.73,0,No
C1487,2025-07-20,Female,33.0,47,One year,Electronic check,75.67,3556.49,4,No
C1488,2025-08-04,Female,32.0,43,Month-to-month,Bank transfer,32.0,1376.0,3,No
C1489,2024-07-11,Female,54.0,8,Month-to-month,Mailed check,86.34, ,1,No
C1490,2025-03-22,Female,62.0,42,Month-to-month,Electronic check,101.51,4263.42,3,No
C1491,2024-09-26,Female,48.0,28,Two year,Electronic check,61.0,1708.0,0,No
C1492,2025-04-23,Male,38.0,60,One year,Mailed check,53.1,3186.0,0,No
C1493,2025-08-09,Male,73.0,10,Month-to-month,Bank transfer,61.57,615.7,1,Yes
C1494,2025-05-11,Male,51.0,14,Two year,Electronic check,77.12,1079.68,0,No
C1495,2024-09-12,Male,31.0,48,Month-to-month,Bank transfer,86.0,4128.0,1,No
C1496,2024-10-24,Male,68.0,49,One year,Bank transfer,99.56,4878.44,5,No
C1497,2025-05-11,Male,25.0,59,Month-to-month,Electronic check,100.31,5918.29,0,No
C1498,2024-08-10,Female,71.0,38,Two year,Credit card,99.64,3786.32,1,No
C1499,2024-02-28,Male,27.0,27,Month-to-month,Mailed check,104.05,2809.35,1,No
C1304,2024-04-09,Female,19.0,49,Month-to-month,Bank transfer,63.85,3128.65,2,Yes
C1340,2025-05-14,Male,22.0,54,One year,Credit card,46.17,2493.18,2,No
C1047,2025-08-09,Female,70.0,4,Two year,Bank transfer,53.36,213.44,3,No
C1067,2025-06-30,Female,55.0,14,Month-to-month,Credit card,78.92,1104.88,1,Yes
C1479,2024-12-30,Male,27.0,68,Month-to-month,Credit card,85.15,5790.2,0,No
C1485,2024-10-20,Female,18.0,33,Month-to-month,Bank transfer,40.07,1322.31,1,No
C1310,2024-07-19,Male,52.0,66,Month-to-month,Bank transfer,92.04,6074.64,0,No
C1031,2024-03-05,Male,44.0,40,Month-to-month,Electronic check,76.75,3070.0,2,No
